,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        Not computed,"13,851","±2,444",(X),(X),581,±374,(X),(X),"13,660","±1,697",(X),(X),"6,163","±1,354",(X),(X),"39,776","±3,298",(X),(X),"5,948","±1,258",(X),(X),"3,599",±896,(X),(X),"1,630",±656,(X),(X),571,±363,(X),(X),"49,275","±3,226",(X),(X),"21,247","±3,074",(X),(X),"2,089",±736,(X),(X),"3,467","±1,076",(X),(X),"16,778","±2,432",(X),(X),"7,698","±1,441",(X),(X),"3,310",±715,(X),(X),"3,748","±1,176",(X),(X),"8,781","±1,533",(X),(X),"8,605","±1,780",(X),(X),"2,589",±821,(X),(X),"6,009","±1,330",(X),(X),"6,244","±1,405",(X),(X),"17,056","±1,946",(X),(X),"5,008",±931,(X),(X),"7,871","±1,777",(X),(X),"8,476","±1,240",(X),(X),"2,368",±851,(X),(X),"2,345",±597,(X),(X),"4,776","±1,495",(X),(X),"1,684",±662,(X),(X),"9,979","±1,928",(X),(X),"6,185","±1,234",(X),(X),"23,393","±2,483",(X),(X),"15,562","±2,899",(X),(X),"1,459",±426,(X),(X),"15,088","±1,843",(X),(X),"6,506",±940,(X),(X),"5,240","±1,202",(X),(X),"21,924","±2,685",(X),(X),"1,088",±539,(X),(X),"9,942","±1,819",(X),(X),"1,526",±689,(X),(X),"13,358","±2,151",(X),(X),"46,424","±4,453",(X),(X),"3,259","±1,018",(X),(X),897,±376,(X),(X),"7,464","±1,272",(X),(X),"7,340","±1,389",(X),(X),"4,639","±1,085",(X),(X),"6,229",±857,(X),(X),837,±465,(X),(X),"21,561","±2,138",(X),(X)
GROSS RENT,    Occupied units paying rent,"527,436","±10,714","527,436",(X),"82,768","±3,836","82,768",(X),"868,623","±13,403","868,623",(X),"355,051","±7,225","355,051",(X),"5,729,209","±27,292","5,729,209",(X),"739,389","±10,444","739,389",(X),"459,139","±9,695","459,139",(X),"102,889","±4,907","102,889",(X),"182,570","±4,394","182,570",(X),"2,675,681","±27,353","2,675,681",(X),"1,289,879","±19,769","1,289,879",(X),"172,112","±6,437","172,112",(X),"182,600","±6,473","182,600",(X),"1,548,639","±19,403","1,548,639",(X),"734,069","±11,761","734,069",(X),"341,001","±7,970","341,001",(X),"360,645","±7,613","360,645",(X),"512,675","±10,042","512,675",(X),"528,100","±11,672","528,100",(X),"138,363","±5,185","138,363",(X),"732,364","±10,611","732,364",(X),"978,374","±11,500","978,374",(X),"1,027,094","±12,940","1,027,094",(X),"588,541","±10,618","588,541",(X),"301,468","±8,835","301,468",(X),"724,744","±13,470","724,744",(X),"125,174","±4,382","125,174",(X),"238,974","±5,007","238,974",(X),"472,380","±9,224","472,380",(X),"144,471","±5,514","144,471",(X),"1,208,515","±14,281","1,208,515",(X),"236,272","±8,513","236,272",(X),"3,303,566","±24,474","3,303,566",(X),"1,297,092","±15,462","1,297,092",(X),"112,336","±5,293","112,336",(X),"1,496,127","±18,391","1,496,127",(X),"493,068","±8,150","493,068",(X),"592,504","±9,747","592,504",(X),"1,483,066","±16,738","1,483,066",(X),"155,972","±5,731","155,972",(X),"527,295","±11,390","527,295",(X),"100,052","±3,448","100,052",(X),"842,856","±14,742","842,856",(X),"3,849,786","±33,557","3,849,786",(X),"319,538","±7,813","319,538",(X),"70,080","±3,306","70,080",(X),"1,028,154","±14,577","1,028,154",(X),"1,045,820","±14,214","1,045,820",(X),"153,043","±5,717","153,043",(X),"747,426","±12,136","747,426",(X),"64,871","±3,547","64,871",(X),"230,343","±6,866","230,343",(X)
GROSS RENT,        Less than $500,"71,308","±3,759",13.50%,±0.7,"6,159","±1,457",7.40%,±1.7,"38,761","±3,938",4.50%,±0.5,"49,018","±3,775",13.80%,±1.0,"249,965","±8,171",4.40%,±0.1,"38,266","±3,353",5.20%,±0.4,"43,089","±3,305",9.40%,±0.7,"8,173","±1,539",7.90%,±1.5,"15,048","±2,395",8.20%,±1.4,"116,522","±6,249",4.40%,±0.2,"95,229","±6,107",7.40%,±0.5,"8,900","±1,396",5.20%,±0.8,"16,374","±2,239",9.00%,±1.2,"135,888","±5,582",8.80%,±0.4,"69,200","±4,395",9.40%,±0.6,"40,798","±2,687",12.00%,±0.7,"39,921","±3,521",11.10%,±0.9,"75,864","±5,199",14.80%,±0.9,"63,546","±4,804",12.00%,±0.9,"22,939","±2,851",16.60%,±2.0,"46,574","±4,238",6.40%,±0.6,"117,538","±6,028",12.00%,±0.6,"105,122","±5,708",10.20%,±0.5,"60,976","±4,023",10.40%,±0.7,"46,338","±3,958",15.40%,±1.3,"80,129","±4,217",11.10%,±0.6,"13,319","±1,618",10.60%,±1.3,"25,047","±2,518",10.50%,±1.0,"14,150","±1,877",3.00%,±0.4,"11,688","±1,733",8.10%,±1.2,"90,837","±5,179",7.50%,±0.4,"26,878","±3,132",11.40%,±1.3,"306,583","±10,908",9.30%,±0.3,"114,810","±6,313",8.90%,±0.5,"12,203","±1,513",10.90%,±1.3,"175,676","±6,931",11.70%,±0.4,"52,797","±3,212",10.70%,±0.7,"35,600","±3,094",6.00%,±0.5,"161,392","±6,595",10.90%,±0.4,"26,754","±2,943",17.20%,±1.7,"48,506","±4,712",9.20%,±0.9,"17,592","±1,589",17.60%,±1.5,"87,061","±5,279",10.30%,±0.6,"192,405","±7,790",5.00%,±0.2,"17,059","±2,138",5.30%,±0.7,"7,225","±1,331",10.30%,±1.9,"62,533","±4,068",6.10%,±0.4,"56,588","±3,412",5.40%,±0.3,"28,841","±2,702",18.80%,±1.6,"65,493","±3,684",8.80%,±0.5,"7,847","±1,502",12.10%,±2.3,"114,004","±5,155",49.50%,±1.8
GROSS RENT,        $500 to $999,"273,161","±8,406",51.80%,±1.3,"20,735","±2,343",25.10%,±2.8,"227,243","±10,463",26.20%,±1.1,"205,829","±6,911",58.00%,±1.6,"604,804","±13,513",10.60%,±0.2,"103,349","±5,046",14.00%,±0.7,"85,185","±5,920",18.60%,±1.3,"22,635","±2,788",22.00%,±2.6,"20,254","±2,818",11.10%,±1.5,"505,407","±14,675",18.90%,±0.5,"390,572","±14,574",30.30%,±1.0,"17,757","±2,157",10.30%,±1.1,"69,426","±3,884",38.00%,±2.0,"514,360","±11,857",33.20%,±0.6,"387,958","±9,235",52.90%,±1.1,"193,062","±5,404",56.60%,±1.2,"176,337","±6,259",48.90%,±1.3,"279,153","±8,655",54.50%,±1.4,"242,721","±7,841",46.00%,±1.2,"53,928","±3,594",39.00%,±2.3,"94,307","±4,558",12.90%,±0.6,"151,910","±6,342",15.50%,±0.6,"444,517","±9,525",43.30%,±0.7,"181,179","±6,931",30.80%,±1.1,"164,766","±6,938",54.70%,±1.6,"375,604","±10,884",51.80%,±1.1,"65,245","±3,352",52.10%,±2.0,"118,102","±4,451",49.40%,±1.6,"103,067","±5,405",21.80%,±1.1,"29,831","±3,255",20.60%,±2.0,"142,973","±6,692",11.80%,±0.6,"114,676","±7,233",48.50%,±2.4,"675,488","±13,524",20.40%,±0.4,"505,362","±10,503",39.00%,±0.7,"62,033","±3,901",55.20%,±2.8,"781,888","±13,979",52.30%,±0.8,"276,366","±8,212",56.10%,±1.1,"128,527","±6,125",21.70%,±0.9,"538,649","±12,969",36.30%,±0.8,"34,425","±2,738",22.10%,±1.8,"229,131","±8,453",43.50%,±1.2,"49,808","±3,178",49.80%,±2.5,"349,314","±11,251",41.40%,±1.1,"1,159,578","±19,103",30.10%,±0.5,"89,706","±5,552",28.10%,±1.6,"22,459","±2,479",32.00%,±3.1,"241,707","±7,980",23.50%,±0.7,"177,568","±7,630",17.00%,±0.7,"88,066","±4,381",57.50%,±2.4,"379,586","±10,299",50.80%,±0.9,"32,807","±3,037",50.60%,±3.5,"98,264","±5,129",42.70%,±1.8
GROSS RENT,"        $1,000 to $1,499","138,924","±7,687",26.30%,±1.2,"27,543","±2,734",33.30%,±2.8,"317,790","±12,185",36.60%,±1.3,"80,082","±6,245",22.60%,±1.7,"1,286,714","±19,091",22.50%,±0.3,"232,674","±7,649",31.50%,±0.9,"175,038","±8,314",38.10%,±1.6,"48,429","±4,012",47.10%,±2.9,"41,826","±3,925",22.90%,±2.0,"1,028,457","±20,840",38.40%,±0.7,"470,693","±15,481",36.50%,±1.0,"38,796","±3,717",22.50%,±1.9,"60,531","±4,322",33.10%,±2.1,"487,706","±11,137",31.50%,±0.6,"214,608","±8,488",29.20%,±1.1,"80,820","±4,829",23.70%,±1.2,"107,635","±4,952",29.80%,±1.3,"125,557","±6,418",24.50%,±1.2,"161,709","±8,626",30.60%,±1.4,"41,715","±3,529",30.10%,±2.4,"238,852","±8,547",32.60%,±1.1,"225,549","±7,737",23.10%,±0.8,"348,689","±8,193",33.90%,±0.7,"198,533","±7,491",33.70%,±1.2,"75,587","±5,164",25.10%,±1.5,"199,939","±8,136",27.60%,±1.0,"28,376","±2,954",22.70%,±2.2,"69,092","±3,561",28.90%,±1.5,"189,803","±7,173",40.20%,±1.4,"52,628","±4,400",36.40%,±2.6,"408,364","±10,722",33.80%,±0.8,"67,633","±5,392",28.60%,±2.0,"811,426","±17,172",24.60%,±0.5,"457,639","±11,585",35.30%,±0.8,"28,370","±2,687",25.30%,±2.0,"402,089","±12,220",26.90%,±0.7,"124,558","±4,935",25.30%,±1.0,"228,908","±7,578",38.60%,±1.2,"486,544","±13,014",32.80%,±0.8,"54,550","±4,952",35.00%,±2.8,"170,610","±7,575",32.40%,±1.2,"25,802","±2,193",25.80%,±2.1,"267,262","±9,703",31.70%,±1.0,"1,508,883","±27,416",39.20%,±0.6,"119,302","±6,827",37.30%,±1.9,"20,519","±2,046",29.30%,±2.7,"310,351","±9,327",30.20%,±0.8,"298,872","±10,319",28.60%,±0.8,"30,105","±3,649",19.70%,±2.1,"219,512","±6,061",29.40%,±0.8,"17,514","±2,660",27.00%,±3.7,"13,891","±2,071",6.00%,±0.8
GROSS RENT,"        $1,500 to $1,999","34,435","±3,871",6.50%,±0.7,"18,144","±2,449",21.90%,±2.8,"193,747","±7,652",22.30%,±0.8,"14,408","±2,257",4.10%,±0.6,"1,448,129","±21,184",25.30%,±0.4,"208,936","±7,991",28.30%,±0.9,"91,587","±6,404",19.90%,±1.3,"16,078","±2,357",15.60%,±2.1,"42,133","±3,586",23.10%,±2.0,"656,497","±15,400",24.50%,±0.6,"228,697","±10,902",17.70%,±0.8,"37,537","±2,947",21.80%,±1.6,"26,150","±4,165",14.30%,±2.1,"247,557","±10,313",16.00%,±0.6,"45,487","±4,474",6.20%,±0.6,"18,079","±2,788",5.30%,±0.8,"27,796","±3,060",7.70%,±0.8,"24,325","±2,985",4.70%,±0.6,"44,724","±4,924",8.50%,±0.9,"13,425","±2,121",9.70%,±1.4,"216,602","±6,652",29.60%,±0.9,"220,241","±7,228",22.50%,±0.7,"90,935","±4,497",8.90%,±0.4,"97,887","±6,013",16.60%,±0.9,"10,406","±2,058",3.50%,±0.7,"48,080","±4,837",6.60%,±0.6,"12,456","±2,352",10.00%,±1.8,"19,104","±2,089",8.00%,±0.9,"122,070","±7,102",25.80%,±1.3,"35,385","±3,203",24.50%,±2.1,"319,032","±9,980",26.40%,±0.7,"20,508","±2,978",8.70%,±1.3,"692,063","±15,077",20.90%,±0.4,"160,782","±6,112",12.40%,±0.5,"7,593","±1,814",6.80%,±1.5,"94,425","±6,072",6.30%,±0.4,"28,065","±3,059",5.70%,±0.6,"132,257","±6,284",22.30%,±0.9,"191,843","±6,966",12.90%,±0.5,"27,962","±3,341",17.90%,±2.0,"54,331","±4,287",10.30%,±0.8,"4,680","±1,137",4.70%,±1.1,"101,154","±7,075",12.00%,±0.8,"679,980","±18,058",17.70%,±0.4,"65,899","±4,881",20.60%,±1.4,"15,083","±2,020",21.50%,±2.7,"233,458","±8,194",22.70%,±0.8,"274,580","±9,803",26.30%,±0.9,"4,453","±1,197",2.90%,±0.8,"60,046","±3,744",8.00%,±0.5,"4,176","±1,199",6.40%,±1.9,"2,327",±961,1.00%,±0.4
GROSS RENT,"        $2,000 to $2,499","6,220","±1,463",1.20%,±0.3,"8,655","±1,763",10.50%,±2.0,"56,256","±4,493",6.50%,±0.5,"3,371","±1,015",0.90%,±0.3,"982,967","±16,480",17.20%,±0.3,"95,314","±5,284",12.90%,±0.7,"37,006","±3,240",8.10%,±0.7,"4,989","±1,532",4.80%,±1.5,"27,203","±2,977",14.90%,±1.6,"233,767","±9,242",8.70%,±0.3,"75,030","±6,556",5.80%,±0.5,"22,693","±2,670",13.20%,±1.4,"6,678","±1,966",3.70%,±1.1,"89,484","±5,346",5.80%,±0.3,"9,919","±1,946",1.40%,±0.3,"3,513","±1,012",1.00%,±0.3,"4,784","±1,401",1.30%,±0.4,"4,715","±1,311",0.90%,±0.3,"9,780","±1,883",1.90%,±0.4,"4,035","±1,266",2.90%,±0.9,"88,233","±5,678",12.00%,±0.8,"128,878","±6,250",13.20%,±0.6,"21,462","±2,162",2.10%,±0.2,"32,692","±2,674",5.60%,±0.4,"2,115","±1,049",0.70%,±0.3,"14,211","±2,161",2.00%,±0.3,"4,058","±1,633",3.20%,±1.3,"3,388",±934,1.40%,±0.4,"31,333","±4,170",6.60%,±0.9,"10,482","±1,877",7.30%,±1.3,"140,870","±6,448",11.70%,±0.5,"3,647","±1,203",1.50%,±0.5,"372,587","±12,200",11.30%,±0.4,"38,691","±3,348",3.00%,±0.2,"1,616","±1,020",1.40%,±0.9,"22,797","±2,934",1.50%,±0.2,"6,542","±1,210",1.30%,±0.2,"44,507","±3,702",7.50%,±0.6,"61,049","±5,154",4.10%,±0.3,"7,797","±1,493",5.00%,±0.9,"15,615","±2,556",3.00%,±0.5,991,±428,1.00%,±0.4,"25,043","±3,812",3.00%,±0.4,"199,627","±10,855",5.20%,±0.3,"18,054","±2,754",5.70%,±0.8,"2,939","±1,166",4.20%,±1.6,"102,115","±5,648",9.90%,±0.5,"131,839","±7,688",12.60%,±0.7,"1,347",±654,0.90%,±0.4,"14,849","±2,277",2.00%,±0.3,"1,205",±715,1.90%,±1.1,736,±518,0.30%,±0.2
GROSS RENT,"        $2,500 to $2,999","1,200",±601,0.20%,±0.1,"1,177",±589,1.40%,±0.7,"16,919","±2,763",1.90%,±0.3,"1,132",±558,0.30%,±0.2,"511,358","±12,522",8.90%,±0.2,"34,725","±3,531",4.70%,±0.5,"11,116","±1,813",2.40%,±0.4,"1,346",±623,1.30%,±0.6,"13,955","±2,029",7.60%,±1.1,"68,130","±5,780",2.50%,±0.2,"15,876","±2,825",1.20%,±0.2,"19,998","±2,269",11.60%,±1.3,"1,980","±1,170",1.10%,±0.6,"38,182","±3,496",2.50%,±0.2,"2,893","±1,047",0.40%,±0.1,935,±555,0.30%,±0.2,"1,029",±508,0.30%,±0.1,"1,554",±894,0.30%,±0.2,"1,392",±663,0.30%,±0.1,"1,494",±682,1.10%,±0.5,"25,518","±2,760",3.50%,±0.4,"64,742","±4,416",6.60%,±0.4,"5,502","±1,232",0.50%,±0.1,"8,543","±1,584",1.50%,±0.3,214,±214,0.10%,±0.1,"2,168",±845,0.30%,±0.1,446,±389,0.40%,±0.3,762,±482,0.30%,±0.2,"6,514","±1,401",1.40%,±0.3,"1,718",±707,1.20%,±0.5,"54,484","±4,101",4.50%,±0.3,807,±639,0.30%,±0.3,"164,447","±6,469",5.00%,±0.2,"9,118","±1,976",0.70%,±0.2,0,±170,0.00%,±0.1,"8,872","±1,899",0.60%,±0.1,"2,214",±697,0.40%,±0.1,"11,269","±1,750",1.90%,±0.3,"18,533","±2,354",1.20%,±0.2,"2,986","±1,121",1.90%,±0.7,"3,619","±1,175",0.70%,±0.2,141,±128,0.10%,±0.1,"8,187","±1,959",1.00%,±0.2,"60,365","±5,428",1.60%,±0.1,"5,508","±1,438",1.70%,±0.4,"1,132",±537,1.60%,±0.8,"39,464","±3,335",3.80%,±0.3,"53,609","±5,083",5.10%,±0.5,57,±102,0.00%,±0.1,"3,171","±1,053",0.40%,±0.1,195,±247,0.30%,±0.4,469,±430,0.20%,±0.2
GROSS RENT,"        $3,000 or more","2,188",±758,0.40%,±0.1,355,±377,0.40%,±0.5,"17,907","±2,676",2.10%,±0.3,"1,211",±566,0.30%,±0.2,"645,272","±13,192",11.30%,±0.2,"26,125","±2,860",3.50%,±0.4,"16,118","±1,986",3.50%,±0.4,"1,239",±515,1.20%,±0.5,"22,151","±2,912",12.10%,±1.5,"66,901","±5,233",2.50%,±0.2,"13,782","±2,308",1.10%,±0.2,"26,431","±2,462",15.40%,±1.4,"1,461",±766,0.80%,±0.4,"35,462","±3,424",2.30%,±0.2,"4,004","±1,053",0.50%,±0.1,"3,794",±830,1.10%,±0.2,"3,143",±794,0.90%,±0.2,"1,507",±665,0.30%,±0.1,"4,228","±1,676",0.80%,±0.3,827,±467,0.60%,±0.3,"22,278","±2,198",3.00%,±0.3,"69,516","±4,440",7.10%,±0.4,"10,867","±1,885",1.10%,±0.2,"8,731","±1,693",1.50%,±0.3,"2,042",±857,0.70%,±0.3,"4,613","±1,120",0.60%,±0.2,"1,274",±643,1.00%,±0.5,"3,479",±905,1.50%,±0.4,"5,443","±1,174",1.20%,±0.2,"2,739",±923,1.90%,±0.6,"51,955","±3,631",4.30%,±0.3,"2,123",±791,0.90%,±0.3,"280,972","±9,931",8.50%,±0.3,"10,690","±1,657",0.80%,±0.1,521,±336,0.50%,±0.3,"10,380","±1,704",0.70%,±0.1,"2,526",±872,0.50%,±0.2,"11,436","±2,199",1.90%,±0.4,"25,056","±3,016",1.70%,±0.2,"1,498",±632,1.00%,±0.4,"5,483","±1,487",1.00%,±0.3,"1,038",±595,1.00%,±0.6,"4,835","±1,237",0.60%,±0.1,"48,948","±5,339",1.30%,±0.1,"4,010","±1,050",1.30%,±0.3,723,±397,1.00%,±0.6,"38,526","±3,251",3.70%,±0.3,"52,764","±3,932",5.00%,±0.4,174,±160,0.10%,±0.1,"4,769","±1,222",0.60%,±0.2,"1,127",±776,1.70%,±1.2,652,±413,0.30%,±0.2
GROSS RENT,        Median (dollars),861,±12,(X),(X),"1,259",±49,(X),(X),"1,253",±13,(X),(X),820,±12,(X),(X),"1,750",±7,(X),(X),"1,491",±14,(X),(X),"1,277",±19,(X),(X),"1,208",±30,(X),(X),"1,668",±36,(X),(X),"1,348",±7,(X),(X),"1,153",±12,(X),(X),"1,774",±37,(X),(X),"1,035",±23,(X),(X),"1,106",±8,(X),(X),905,±9,(X),(X),847,±10,(X),(X),904,±13,(X),(X),830,±10,(X),(X),924,±13,(X),(X),945,±23,(X),(X),"1,473",±14,(X),(X),"1,487",±19,(X),(X),969,±7,(X),(X),"1,113",±12,(X),(X),831,±12,(X),(X),882,±9,(X),(X),883,±17,(X),(X),912,±16,(X),(X),"1,311",±16,(X),(X),"1,263",±34,(X),(X),"1,457",±9,(X),(X),906,±20,(X),(X),"1,409",±10,(X),(X),"1,026",±10,(X),(X),839,±27,(X),(X),870,±6,(X),(X),855,±8,(X),(X),"1,282",±15,(X),(X),"1,036",±10,(X),(X),"1,142",±28,(X),(X),976,±12,(X),(X),830,±25,(X),(X),981,±11,(X),(X),"1,167",±6,(X),(X),"1,208",±20,(X),(X),"1,115",±36,(X),(X),"1,331",±14,(X),(X),"1,484",±13,(X),(X),767,±21,(X),(X),921,±7,(X),(X),889,±38,(X),(X),504,±12,(X),(X)
GROSS RENT,        No rent paid,"62,191","±4,335",(X),(X),"7,398","±1,051",(X),(X),"43,410","±3,323",(X),(X),"35,586","±3,298",(X),(X),"197,148","±8,634",(X),(X),"27,420","±2,938",(X),(X),"17,658","±2,645",(X),(X),"5,656","±1,103",(X),(X),"4,059","±1,332",(X),(X),"117,319","±5,949",(X),(X),"69,104","±4,980",(X),(X),"11,315","±1,960",(X),(X),"12,410","±1,982",(X),(X),"72,348","±4,485",(X),(X),"40,776","±3,428",(X),(X),"24,355","±2,354",(X),(X),"21,641","±2,201",(X),(X),"47,011","±4,038",(X),(X),"54,914","±4,383",(X),(X),"11,032","±1,685",(X),(X),"25,625","±2,658",(X),(X),"38,208","±3,923",(X),(X),"58,357","±3,749",(X),(X),"27,391","±2,536",(X),(X),"41,075","±3,858",(X),(X),"45,387","±3,082",(X),(X),"11,914","±1,615",(X),(X),"14,426","±1,543",(X),(X),"14,452","±2,037",(X),(X),"6,330","±1,231",(X),(X),"36,456","±3,123",(X),(X),"18,027","±2,375",(X),(X),"110,063","±6,087",(X),(X),"88,329","±4,987",(X),(X),"6,626","±1,317",(X),(X),"90,309","±4,822",(X),(X),"41,062","±2,507",(X),(X),"24,065","±2,615",(X),(X),"88,412","±5,093",(X),(X),"5,749","±1,545",(X),(X),"51,381","±4,214",(X),(X),"9,205","±1,464",(X),(X),"58,493","±3,877",(X),(X),"185,459","±9,604",(X),(X),"13,899","±2,075",(X),(X),"3,792",±846,(X),(X),"51,137","±3,357",(X),(X),"42,534","±3,645",(X),(X),"26,353","±2,575",(X),(X),"33,969","±2,561",(X),(X),"4,645","±1,224",(X),(X),"135,084","±5,680",(X),(X)
